character	code_point	unicode_name	unicode_category	count
L	U+004C	LATIN CAPITAL LETTER L	Lu	240
M	U+004D	LATIN CAPITAL LETTER M	Lu	255
N	U+004E	LATIN CAPITAL LETTER N	Lu	286
O	U+004F	LATIN CAPITAL LETTER O	Lu	143
P	U+0050	LATIN CAPITAL LETTER P	Lu	129
Q	U+0051	LATIN CAPITAL LETTER Q	Lu	18
R	U+0052	LATIN CAPITAL LETTER R	Lu	237
S	U+0053	LATIN CAPITAL LETTER S	Lu	443
T	U+0054	LATIN CAPITAL LETTER T	Lu	553
U	U+0055	LATIN CAPITAL LETTER U	Lu	163
V	U+0056	LATIN CAPITAL LETTER V	Lu	58
W	U+0057	LATIN CAPITAL LETTER W	Lu	250
X	U+0058	LATIN CAPITAL LETTER X	Lu	67
Y	U+0059	LATIN CAPITAL LETTER Y	Lu	90
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	68
[	U+005B	LEFT SQUARE BRACKET	Ps	70
\	U+005C	REVERSE SOLIDUS	Po	1
]	U+005D	RIGHT SQUARE BRACKET	Pe	70
_	U+005F	LOW LINE	Pc	101
a	U+0061	LATIN SMALL LETTER A	Ll	16300
b	U+0062	LATIN SMALL LETTER B	Ll	5008
c	U+0063	LATIN SMALL LETTER C	Ll	3957
d	U+0064	LATIN SMALL LETTER D	Ll	7613
e	U+0065	LATIN SMALL LETTER E	Ll	26092
f	U+0066	LATIN SMALL LETTER F	Ll	4811
g	U+0067	LATIN SMALL LETTER G	Ll	3585
h	U+0068	LATIN SMALL LETTER H	Ll	7846
i	U+0069	LATIN SMALL LETTER I	Ll	17183
j	U+006A	LATIN SMALL LETTER J	Ll	1267
k	U+006B	LATIN SMALL LETTER K	Ll	4123
l	U+006C	LATIN SMALL LETTER L	Ll	7772
m	U+006D	LATIN SMALL LETTER M	Ll	6418
n	U+006E	LATIN SMALL LETTER N	Ll	16463
o	U+006F	LATIN SMALL LETTER O	Ll	12709
p	U+0070	LATIN SMALL LETTER P	Ll	4031
q	U+0071	LATIN SMALL LETTER Q	Ll	583
r	U+0072	LATIN SMALL LETTER R	Ll	14324
s	U+0073	LATIN SMALL LETTER S	Ll	11099
t	U+0074	LATIN SMALL LETTER T	Ll	16137
u	U+0075	LATIN SMALL LETTER U	Ll	5096
v	U+0076	LATIN SMALL LETTER V	Ll	3943
w	U+0077	LATIN SMALL LETTER W	Ll	3955
x	U+0078	LATIN SMALL LETTER X	Ll	1592
y	U+0079	LATIN SMALL LETTER Y	Ll	3961
z	U+007A	LATIN SMALL LETTER Z	Ll	1364
~	U+007E	TILDE	Sm	1326
	U+0083	<UNNAMED>	Cc	22
 	U+00A0	NO-BREAK SPACE	Zs	996
­	U+00AD	SOFT HYPHEN	Cf	2
¾	U+00BE	VULGAR FRACTION THREE QUARTERS	No	2
Ç	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	37
Ê	U+00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	Lu	13
Î	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	24
Û	U+00DB	LATIN CAPITAL LETTER U WITH CIRCUMFLEX	Lu	2
à	U+00E0	LATIN SMALL LETTER A WITH GRAVE	Ll	1
â	U+00E2	LATIN SMALL LETTER A WITH CIRCUMFLEX	Ll	2
æ	U+00E6	LATIN SMALL LETTER AE	Ll	1
ç	U+00E7	LATIN SMALL LETTER C WITH CEDILLA	Ll	728
é	U+00E9	LATIN SMALL LETTER E WITH ACUTE	Ll	3
ê	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	3093
í	U+00ED	LATIN SMALL LETTER I WITH ACUTE	Ll	8
î	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	3597
ö	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS	Ll	1
û	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	1347
ü	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS	Ll	2
ā	U+0101	LATIN SMALL LETTER A WITH MACRON	Ll	3
ğ	U+011F	LATIN SMALL LETTER G WITH BREVE	Ll	5
ī	U+012B	LATIN SMALL LETTER I WITH MACRON	Ll	2
İ	U+0130	LATIN CAPITAL LETTER I WITH DOT ABOVE	Lu	18
ı	U+0131	LATIN SMALL LETTER DOTLESS I	Ll	10
Ş	U+015E	LATIN CAPITAL LETTER S WITH CEDILLA	Lu	30
ş	U+015F	LATIN SMALL LETTER S WITH CEDILLA	Ll	1080
š	U+0161	LATIN SMALL LETTER S WITH CARON	Ll	1
ū	U+016B	LATIN SMALL LETTER U WITH MACRON	Ll	1
ɨ	U+0268	LATIN SMALL LETTER I WITH STROKE	Ll	1
ɯ	U+026F	LATIN SMALL LETTER TURNED M	Ll	1
ɾ	U+027E	LATIN SMALL LETTER R WITH FISHHOOK	Ll	1
ʃ	U+0283	LATIN SMALL LETTER ESH	Ll	1
ʊ	U+028A	LATIN SMALL LETTER UPSILON	Ll	1
ʒ	U+0292	LATIN SMALL LETTER EZH	Ll	1
ʤ	U+02A4	LATIN SMALL LETTER DEZH DIGRAPH	Ll	1
ʧ	U+02A7	LATIN SMALL LETTER TESH DIGRAPH	Ll	1
‐	U+2010	HYPHEN	Pd	3
–	U+2013	EN DASH	Pd	111
—	U+2014	EM DASH	Pd	1
‘	U+2018	LEFT SINGLE QUOTATION MARK	Pi	582
’	U+2019	RIGHT SINGLE QUOTATION MARK	Pf	678
“	U+201C	LEFT DOUBLE QUOTATION MARK	Pi	29
”	U+201D	RIGHT DOUBLE QUOTATION MARK	Pf	31
•	U+2022	BULLET	Po	44
…	U+2026	HORIZONTAL ELLIPSIS	Po	1334
→	U+2192	RIGHTWARDS ARROW	Sm	68
−	U+2212	MINUS SIGN	Sm	12
ﬁ	U+FB01	LATIN SMALL LIGATURE FI	Ll	177
ﬂ	U+FB02	LATIN SMALL LIGATURE FL	Ll	52
